module_short_name,module_code,type,label,description,additional_info
Biology Core Concepts,BIOS101,LO,LO1,"Recall the origins of life and its biological variations, and recognise the interrelation between the key concepts which make up the Life Sciences",
Biology Core Concepts,BIOS101,LO,LO2,"Identify different cell types, the ways they manipulate energy, replicate, develop, move and survive.",
Biology Core Concepts,BIOS101,LO,LO3,"Recall the mechanisms by which biological information flows, and the molecular basis of life.",
Biology Core Concepts,BIOS101,LO,LO4,"Recognise diversity in the biological world and its relationship with human, animal and environmental health.",
Biology Core Concepts,BIOS101,LO,LO5,Apply the underlying principles of Pharmacology,
Biology Core Concepts,BIOS101,LO,LO6,Analyse and interpret fundamental biological data,
Biology Core Concepts,BIOS101,SKILL,S1,Digital skills - information access and retrieval,
Biology Core Concepts,BIOS101,SKILL,S2,Written communication,
Orig Special Chal & Therapeut,BIOS102,LO,LO1,"Describe the fundamentals of development that lead to germ layer formation and organogenesis, and their regulatory mechanisms.",
Orig Special Chal & Therapeut,BIOS102,LO,LO2,"Describe the general properties of stem cells, their role in development and their therapeutic potential/ ethics surrounding their use.",
Orig Special Chal & Therapeut,BIOS102,LO,LO3,"Outline the structure and organisation of different organs, and the molecular mechanisms involved in their development.","List, which organs can you cover"
Orig Special Chal & Therapeut,BIOS102,LO,LO4,"Describe how physiological systems play their roles in organism maintenance, communication and survival.","List, which systems can you cover"
Orig Special Chal & Therapeut,BIOS102,LO,LO5,Recall the principles of pharmacokinetics and the ways in which drugs are metabolised/eliminated.,
Orig Special Chal & Therapeut,BIOS102,LO,LO6,Explain how the structure and function of the basic body plan of invertebrate and vertebrate animals is adapted to different environments.,
Orig Special Chal & Therapeut,BIOS102,LO,LO7,Recognise and interpret biological data.,
Orig Special Chal & Therapeut,BIOS102,SKILL,S1,Written communication,
Orig Special Chal & Therapeut,BIOS102,SKILL,S2,Digital skills,
Orig Special Chal & Therapeut,BIOS102,SKILL,S3,Information retrieval and review,
Orig Special Chal & Therapeut,BIOS102,SKILL,S4,Critical thinking and problem solving,
Orig Special Chal & Therapeut,BIOS102,SKILL,S5,Global citizenship,
Orig Special Chal & Therapeut,BIOS102,SKILL,S6,Ethical awareness,
Practical Skills Biosciences I,BIOS103,LO,LO1,"Record procedures and protocols for experiments relating to Biosciences and generate, evaluate and interpret qualitative and quantitative data.","List, which procedures and techniques can you cover"
Practical Skills Biosciences I,BIOS103,LO,LO2,Demonstrate problem solving skills to identify and test hypotheses in relation to laboratory-based experiments in Biosciences.,
