username,keywords,type,prerequisite,available
stevep11,"Respiratory infections,Bioinformatics,Host-microbe biology and co-evolution",Bioinformatics,,1
tlgleave,"Designing educational resources,Outreach and public engagement",Outreach,,3
ggrundy,"Cancer genetics,Cancer medicine",Laboratory,,3
njwillms,One health,Laboratory,,1
srocha,Molecular cell biology,Laboratory,LIFE201,3
njwillms,One health,Data analysis,,1
acdarby,"Gastrointestinal infections,Emerging infections and pandemic threats,Bioinformatics,Multi-omics,Infection biology,Oral Microbiology,One health,Global health,Host-microbe biology and co-evolution,Evolution and adaptation,Parasitology and vector borne disease",Bioinformatics,,2
acdarby,"Gastrointestinal infections,Emerging infections and pandemic threats,Bioinformatics,Multi-omics,Infection biology,Host-microbe biology and co-evolution,Parasitology and vector borne disease",Laboratory,,1
carriw,"Animal behaviour,One health,Animals in society,Animal welfare research",Data analysis,,1
nnsk1,"Molecular cell biology,Cancer cell signalling",Laboratory,LIFE202,3
hlevis,Ophthalmology - Tissue engineering and regenerative medicine,Laboratory,,2
hlevis,Outreach and public engagement,Outreach,,1
canniffe,"Molecular cell biology,Protein structure and function",Laboratory,,3
hlevis,Ophthalmology - biomaterials,Laboratory,,1
staunton,"Molecular cell biology,Bioinformatics,Musculoskeletal biology,Musculoskeletal ageing",Laboratory,,3
hrowland,"Animal behaviour,Evolution and adaptation,Ecology",Laboratory,,2
chammond,Cancer genetics,Bioinformatics,LIFE201,1
chammond,Cancer cell signalling,Laboratory,LIFE204,2
rawais,"Cell signalling,Drug discovery",Laboratory,,3
kateh,Educational research,Education Research,,2
kateh,"Working with local schools,Designing educational resources",School,,2
acsharp,"Anatomy,Biomechanics,Musculoskeletal biology",Laboratory,LIFE219,2
acsharp,"Anatomy,Biomechanics,Musculoskeletal biology,Musculoskeletal ageing",Computational project,LIFE220,2
glc,"Working with local schools,Educational research,Designing educational resources",School,,2
glc,"Educational research,Outreach and public engagement",Education Research,,2
glc,Educational research,Systematic Review,,1
swigby,"Animal behaviour,Evolution and adaptation",Laboratory,,0
jordanel,"Host-microbe biology and co-evolution,Evolution and adaptation",Laboratory,,4
msciaco,Cancer cell signalling,Laboratory,,1
richurbe,Infection biology,Laboratory,,1
acf1,"Host-microbe biology and co-evolution,Parasitology and vector borne disease,Ecology",Data analysis,,3
mqbpqfd2,"Molecular cell biology,Bioinformatics,Multi-omics",Bioinformatics,,3
nsavage,Development,Systematic Review,,2
nsavage,Development,Systematic Review,,2
svoelkel,"Animal behaviour,Conservation  biology and environmental change,Ecology",Field,LIFE243,4
amielgo,Cancer microenvironment,Laboratory,,0
eayates,"Gastrointestinal infections,Drug safety,Host-microbe biology and co-evolution",Laboratory,,2
cmitch,"Animal behaviour,Evolution and adaptation",Data analysis,,4
bpoulet,Musculoskeletal ageing,Laboratory,,4
bpoulet,"Animal behaviour,Musculoskeletal ageing",Laboratory,,1
scornell,"Conservation  biology and environmental change,Ecology",Computer modelling,LIFE214,2
scornell,"Conservation  biology and environmental change,Evolution and adaptation",Computer modelling,LIFE214,2
cdart,Cell signalling,Laboratory,LIFE202,3
lyoung,"Cancer cell signalling,Cancer microenvironment",Laboratory,,0
lyoung,"Cancer genetics,Cancer outreach",Outreach,,4
