student_id,programme,types,keywords,prerequisites
123456789,Biochemistry,"Data analysis,GIS analysis,Grant proposal,Image analysis,Meta-analysis","Molecular cell biology,Multi-omics,One health,Working with local schools,Cancer immunology","LIFE203,LIFE206,LIFE210,LIFE213,LIFE216"
201155246,Biological Sciences,"Bioinformatics,Health Research,Systematic Review,Journalism,Meta-analysis","Systems pharmacology and information science,Bioinformatics,Multi-omics,Pre-clinical drug development,Drug discovery","LIFE201,LIFE202,LIFE208,LIFE210,LIFE213,LIFE223,LIFE225,LIFE226,LIFE227,LIFE237"
201314336,Biological Sciences,"Laboratory,Health Research,Field,Meta-analysis,Education Research","Human immunology,Infection biology,Clinical drug development,Parasitology and vector borne disease,Cardiotoxicity","LIFE202,LIFE207,LIFE209,LIFE216,LIFE221,LIFE223,LIFE228,LIFE236,LIFE237"
201318725,Biological and Medical Sciences,"Laboratory,Field,Bioinformatics,Image analysis,Meta-analysis","Neurobiology and Neuropathology,Cancer cell signalling,Cancer medicine,Pre-clinical drug development,Protein structure and function","LIFE202,LIFE204,LIFE205,LIFE207,LIFE221,LIFE223,LIFE227,LIFE229,LIFE234,LIFE242"
201366022,Zoology,"Field,Systematic Review,GIS analysis,Data analysis,School","Animal behaviour,Conservation  biology and environmental change,Ecology,Evolution and adaptation,Outreach and public engagement","LIFE205,LIFE211,LIFE213,LIFE214,LIFE223,LIFE230,LIFE233,LIFE238,LIFE243"
201380420,Anatomy and Human Biology,"Laboratory,Image analysis,Outreach,Market Analysis,Health Research","Anatomy,Musculoskeletal ageing,Neurobiology and Neuropathology,Musculoskeletal biology,Dental Innovation","LIFE204,LIFE205,LIFE218,LIFE219,LIFE220,LIFE223,LIFE229,LIFE232,LIFE235"
201382923,Biological Sciences,"Laboratory,Bioinformatics,Data analysis,Systematic Review,Health Research","Cancer genetics,Cancer medicine,Cancer cell signalling,Bioinformatics,Cell signalling","LIFE201,LIFE202,LIFE208,LIFE210,LIFE221,LIFE223,LIFE225,LIFE226,LIFE227,LIFE228"
201384632,Zoology,"Field,Meta-analysis,Laboratory,Systematic Review,Grant proposal","Ecology,Conservation  biology and environmental change,Evolution and adaptation,Animal behaviour,Animal welfare research","LIFE211,LIFE212,LIFE213,LIFE214,LIFE223,LIFE230,LIFE233,LIFE238,LIFE243"
201388972,Anatomy and Human Biology,"Health Research,Systematic Review,Field,Laboratory,Data analysis","Neurobiology and Neuropathology,Cardiac electrophysiology,Musculoskeletal biology,Sepsis and acute inflammatory conditions,Anatomy","LIFE205,LIFE208,LIFE218,LIFE219,LIFE220,LIFE223,LIFE235,LIFE242"
201393620,Bioveterinary Sciences,"Laboratory,Field,Systematic Review,Image analysis,Data analysis","Ruminant health and welfare,Parasitology and vector borne disease,Animal welfare research,Emerging infections and pandemic threats,Companion animals  and health data","LIFE212,LIFE216,LIFE223,LIFE230,LIFE239,LIFE240"
201409237,Biological Sciences,"Grant proposal,Meta-analysis,Health Research,Image analysis,Field","Musculoskeletal biology,Musculoskeletal ageing,Calcium regulation,Cancer genetics,Anatomy","LIFE202,LIFE204,LIFE206,LIFE207,LIFE221,LIFE223,LIFE227,LIFE232,LIFE234"
201417181,Biological and Medical Sciences,"Laboratory,Meta-analysis,Bioinformatics,Systematic Review,Data analysis","Global health,Cancer immunology,Drug discovery,Emerging infections and pandemic threats,Neurobiology and Neuropathology","LIFE202,LIFE204,LIFE206,LIFE207,LIFE221,LIFE223,LIFE225,LIFE227,LIFE234,LIFE237"
201426874,Anatomy and Human Biology,"Field,Laboratory,Image analysis,Grant proposal,Health Research","Biomechanics,Musculoskeletal biology,Ophthalmology - Tissue engineering and regenerative medicine,Musculoskeletal ageing,Anatomy","LIFE202,LIFE213,LIFE218,LIFE220,LIFE223,LIFE225,LIFE229,LIFE235"
